,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pretender,"Official HIGE DANdism",139191,https://open.spotify.com/track/58dxGXavrcagRqA58fNB0Z
2,宿命,"Official HIGE DANdism",102848,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3
3,イエスタデイ,"Official HIGE DANdism",94157,https://open.spotify.com/track/3S3DDZrPOYTirleXRyHnNM
4,Hakujitsu,"King Gnu",82304,https://open.spotify.com/track/0mNO3xUzjsI17GXO1DRFCH
5,ノーダウト,"Official HIGE DANdism",77901,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
6,マリーゴールド,Aimyon,70459,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
7,115万キロのフィルム,"Official HIGE DANdism",65210,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
8,Machigaisagashi,"Masaki Suda",63646,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
9,高嶺の花子さん,"back number",54548,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
10,"Stand By You","Official HIGE DANdism",51180,https://open.spotify.com/track/7MhJmtlNl6R0oppdG59CaI
11,クリスマスソング,"back number",50519,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
12,君はロックを聴かない,Aimyon,49378,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
13,"Sayonara Elegy","Masaki Suda",46463,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
14,HANABI,Mr.Children,42760,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
15,Umbrella,"King Gnu",42648,https://open.spotify.com/track/1NkiR42rILTQYYEGs7izYv
16,ハルノヒ,Aimyon,41940,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
17,Hikoutei,"King Gnu",40842,https://open.spotify.com/track/68KMKHen3fHDgD8z1aBWCK
18,今夜このまま,Aimyon,40783,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
19,366日,HY,40097,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
20,ハッピーエンド,"back number",38589,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
21,ただ君に晴れ,ヨルシカ,38486,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
22,青と夏,"Mrs. GREEN APPLE",38011,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
23,小さな恋のうた,MONGOL800,36879,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
24,空の青さを知る人よ,Aimyon,36475,https://open.spotify.com/track/3u0e8pyoVc7l2u3T5thohY
25,愛をこめて花束を,Superfly,35121,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
26,"Walking with you",Novelbright,34731,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
27,奏(かなで),"Sukima Switch",33733,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
28,ワタリドリ,[ALEXANDROS],33716,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
29,ひまわりの約束,"Motohiro Hata",33665,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
30,"Wherever you are","ONE OK ROCK",32950,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
31,愛唄,GReeeeN,32212,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
32,"Turning Up",ARASHI,32119,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
33,点描の唄,"Mrs. GREEN APPLE",31681,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
34,Gurenge,LiSA,31672,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
35,打上花火,DAOKO×米津玄師,30582,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
36,ロマンチシズム,"Mrs. GREEN APPLE",30217,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
37,Paprika,Foorin,29596,https://open.spotify.com/track/0bdYJCO9clK9ew61Z7GqMf
38,トリコ,Nissy,29457,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
39,Memories,"Maroon 5",29243,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
40,"Love so Sweet",ARASHI,28544,https://open.spotify.com/track/10G6iBGzoMi9qXgDV9qyBy
41,ヒロイン,"back number",28449,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
42,新宝島,Sakanaction,28285,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
43,"Shape of You","Ed Sheeran",28047,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
44,愛を伝えたいだとか,Aimyon,27801,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
45,鱗(うろこ),"Motohiro Hata",27429,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
46,インフェルノ,"Mrs. GREEN APPLE",27149,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
47,"everything i wanted","Billie Eilish",27133,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,丸ノ内サディスティック,"Sheena Ringo",26627,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
49,"Don't Start Now","Dua Lipa",26141,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
50,"bad guy","Billie Eilish",26094,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
51,Happiness,ARASHI,24945,https://open.spotify.com/track/0Ns63lt28epRgED3Tnhmth
52,ビンテージ,"Official HIGE DANdism",24068,https://open.spotify.com/track/0U9vBvoG3LN1PnuVl47E3W
53,チェリー,SPITZ,23869,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
54,貴方解剖純愛歌〜死ね〜,Aimyon,23789,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL
55,花束,"back number",23070,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
56,バッドフォーミー,"Official HIGE DANdism",22644,https://open.spotify.com/track/6rH3dc5bGzqrJv6ZARFfJX
57,"No Regret",wacci,22069,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
58,"10,000 Hours (with Justin Bieber)","Dan + Shay",21198,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
59,君に届け,flumpool,21197,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b
60,Story,AI,20967,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV
61,"Ainokatachi (feat. HIDE (GReeeeN))",MISIA,20555,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3
62,楓,SPITZ,20375,https://open.spotify.com/track/0b7IBgZjedM53ufZV4f4CL
63,Lovers,sumika,20358,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl
64,僕のこと,"Mrs. GREEN APPLE",20233,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
65,恋音と雨空,AAA,20147,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
66,Amazing,"Official HIGE DANdism",20119,https://open.spotify.com/track/1eYWPiHNH5xpZMZ4z6BlyZ
67,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",19999,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
68,"Feel Special",TWICE,19662,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
69,Señorita,"Shawn Mendes",19649,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
70,ロビンソン,SPITZ,19638,https://open.spotify.com/track/0sVnyL71jTOuMt9TZ59bws
71,"Kimiga Kureta Natsu","Leo Ieiri",19624,https://open.spotify.com/track/4bK6qPvD4xB8npRkZa1a55
72,Slumberland,"King Gnu",19596,https://open.spotify.com/track/1Q5l8ZfVn6kYwLJkGrBwZP
73,"Dance Monkey","Tones and I",19548,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
74,"Beautiful People (feat. Khalid)","Ed Sheeran",19455,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
75,"Fake & True",TWICE,19421,https://open.spotify.com/track/4u04u2pxwZtPKCbURB24GT
76,公然の秘密,"Sheena Ringo",19373,https://open.spotify.com/track/7fumKCLGohbOKbXhCXD3md
77,明日も,SHISHAMO,19369,https://open.spotify.com/track/2GICOigS4ByugDisRegs3M
78,"I Don't Care (with Justin Bieber)","Ed Sheeran",19326,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
79,"Wasted Nights","ONE OK ROCK",19240,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
80,天体観測,"BUMP OF CHICKEN",19229,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
81,"Lose You To Love Me","Selena Gomez",19214,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
82,キセキ,GReeeeN,19207,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
83,異端なスター,"Official HIGE DANdism",18811,https://open.spotify.com/track/6vtHQ7FcAXSOKSOeaBm5bc
84,"WanteD! WanteD!","Mrs. GREEN APPLE",18699,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif
85,春愁,"Mrs. GREEN APPLE",18699,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
86,ESCAPADE,"Official HIGE DANdism",18682,https://open.spotify.com/track/2IPqNqkVIs2BHdwNys44lY
87,Vinyl,"King Gnu",18528,https://open.spotify.com/track/2zbWCme3Dvp8071b4R4nkY
88,真夏の夜の匂いがする,Aimyon,18447,https://open.spotify.com/track/34s49nvRfQy1kzx7DBqVRC
89,Monster,ARASHI,18308,https://open.spotify.com/track/7jqRTdBUqNhJaI0fKdOClO
90,"Never Grow Up",CHANMINA,18255,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq
91,Hikarie,miwa,18243,https://open.spotify.com/track/7mlHSPccMPEiGYxWUqEURC
92,"SWEET TWEET","Official HIGE DANdism",17843,https://open.spotify.com/track/0dKJGmhY4Hh40bOkPz9n6N
93,あまりにも素敵な夜だから,[ALEXANDROS],17646,https://open.spotify.com/track/3Ni2arQUKlivlxbp30x9KO
94,"Prayer X","King Gnu",17405,https://open.spotify.com/track/6FMelWDNGnYBva29R4d0tq
95,CHEERS,"Mrs. GREEN APPLE",17360,https://open.spotify.com/track/3VfcTMAgdty9VYOgeuyqiN
96,"My Boo","Shota Shimizu",17170,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
97,ROXANNE,"Arizona Zervas",17062,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
98,アイデア,"Gen Hoshino",17006,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF
99,"Stand Out Fit In","ONE OK ROCK",16765,https://open.spotify.com/track/4zXRMjTaeflesB3Ih4eHnJ
100,Circles,"Post Malone",16718,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
101,"hot girl bummer",blackbear,16691,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
102,秒針を噛む,ZUTOMAYO,16458,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U
103,us,milet,16404,https://open.spotify.com/track/7kPN6Q2Ri2xhCBVTxAlR8v
104,優しいあの子,SPITZ,16188,https://open.spotify.com/track/29RAzfejW1O69okBQXibca
105,"Mean It",Lauv,16180,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
106,2002,Anne-Marie,16003,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
107,何度でも,"DREAMS COME TRUE",15941,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB
108,"FIRE GROUND","Official HIGE DANdism",15902,https://open.spotify.com/track/68wBvZVbf4w9mWgnGBpt4R
109,Kataomoi,Aimer,15894,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y
110,ともに,WANIMA,15794,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3
111,A・RA・SHI,ARASHI,15703,https://open.spotify.com/track/3hdd3WJLagemc3ynu6LyKE
112,AM11:00,HY,15634,https://open.spotify.com/track/6YcvfXy4wTvjaIniIBuh30
113,"Kill This Love",BLACKPINK,15520,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
114,Rowan,"Official HIGE DANdism",15514,https://open.spotify.com/track/2xD9nEfXbHxa5nVXQjHb33
115,祈り花,HIRAIDAI,15433,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B
116,"さらしもの (feat. PUNPEE)","Gen Hoshino",15291,https://open.spotify.com/track/0LXJ38MncJmqqVdeUhDIZv
117,Reboot,miwa,15288,https://open.spotify.com/track/5bTgpL0eRxUX8BLl0ZlGpL
118,モス,Sakanaction,15160,https://open.spotify.com/track/4FdpXwtpJfRltvFuTcpNL6
119,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",14993,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
120,FANCY,TWICE,14874,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
121,"I LOVE YOU","Chris Hart",14866,https://open.spotify.com/track/0mf82mK5aeZm4vN9HM2InQ
122,全力少年,"Sukima Switch",14866,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR
123,Truth,ARASHI,14864,https://open.spotify.com/track/6TWPTr6DdDpjkf9wYkHz8v
124,最後の恋煩い,"Official HIGE DANdism",14780,https://open.spotify.com/track/2oLFvIUF0qfyLybZwQOPUe
125,だから僕は音楽を辞めた,ヨルシカ,14760,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
126,"If I Can't Have You","Shawn Mendes",14740,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
127,"Look At Her Now","Selena Gomez",14585,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
128,ハゼ馳せる果てるまで,ZUTOMAYO,14583,https://open.spotify.com/track/2wrSQcRHBksoXNMn4lZNfv
129,光榮之橋,Yuzu,14536,https://open.spotify.com/track/5KaplUYIDvsFe69z7UArVt
130,ラストソング,"Official HIGE DANdism",14342,https://open.spotify.com/track/7sqoUXFIrcdyDtTjdekx8P
131,Mitakotomonaikeshiki,"Masaki Suda",14265,https://open.spotify.com/track/7ejMg5qYeZbikO3a4u3kZ2
132,"100万回の「I love you」",Rake,14234,https://open.spotify.com/track/082OJUNr9ZO4cApGqYouUx
133,満月の夜なら,Aimyon,14206,https://open.spotify.com/track/7DW5Dro8AHE7x19COl26E3
134,Rat-tat-tat,"J Soul Brothers III from EXILE TRIBE",14151,https://open.spotify.com/track/1vtxgfTp6CDMobV5Fc15FF
135,Koiwazurai,Aimer,14136,https://open.spotify.com/track/5v2xgL8y4XI0hi50cU574j
136,シグナル,WANIMA,14045,https://open.spotify.com/track/4Ybp3UvVXvraRNwOCWnrNq
137,Sorrows,"King Gnu",14018,https://open.spotify.com/track/74Cc2tYo3flxhnCHl2Ggra
138,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,13961,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
139,"Boy With Luv (feat. Halsey)",BTS,13933,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
140,"Make It Right (feat. Lauv)",BTS,13925,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
141,"Tell Me Baby","Official HIGE DANdism",13904,https://open.spotify.com/track/5yeXw1L7CqKXkHaJ0W4RrT
142,Lights,BTS,13813,https://open.spotify.com/track/44vXWYTcdrejrIQZEoHzl8
143,"Lights Up","Harry Styles",13812,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
144,Liar,"Camila Cabello",13809,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
145,"The hole","King Gnu",13659,https://open.spotify.com/track/6aPDcQqxHILkKLqDdtIKu7
146,空も飛べるはず,SPITZ,13565,https://open.spotify.com/track/3P2aSkjcbUYbcYr13EFE8n
147,"One Love",ARASHI,13522,https://open.spotify.com/track/3r6Am8NvUDbuS2Yqv76ivi
148,恋,"Gen Hoshino",13452,https://open.spotify.com/track/1flvuaMS27JxpEBL0u2cWc
149,願い,sumika,13395,https://open.spotify.com/track/6UuFA519L632UBpMbueCi0
150,"Kimi Ga Suki","Shota Shimizu",13344,https://open.spotify.com/track/5Bg0HkfaRYRx8A7tMrjT9Z
151,Change,"ONE OK ROCK",13293,https://open.spotify.com/track/0BOHIMI5EvhGuZSkWLwxIP
152,"The Beginning","ONE OK ROCK",13286,https://open.spotify.com/track/4f3nDjgqXurMryYBSp0TZD
153,Graveyard,Halsey,13127,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
154,SUN,"Gen Hoshino",13038,https://open.spotify.com/track/1DOZa2VoazIiDjGYlUQTlW
155,"Nemuri Hime","SEKAI NO OWARI",13038,https://open.spotify.com/track/45K0qNLo4nltgbQ7c6bfqs
156,"All I Want for Christmas Is You","Mariah Carey",13018,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
157,ファンファーレ,sumika,13018,https://open.spotify.com/track/2OCtw3vaD0urZuYOeuNw4V
158,三日月,ayaka,12995,https://open.spotify.com/track/5SDVaYU4nfaIV0rNSlWSCa
159,GONG,WANIMA,12811,https://open.spotify.com/track/4TFUsim1NVJGvQjE2Ppeno
160,Guts!,ARASHI,12805,https://open.spotify.com/track/384jVNcJAiC2XGPMRnZj1H
161,"Watermelon Sugar","Harry Styles",12726,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
162,獣ゆく細道,"Sheena Ringo",12712,https://open.spotify.com/track/1b8tkaZy5pnsrKj5ettPPf
163,どんなときも。,"Noriyuki Makihara",12684,https://open.spotify.com/track/4feDzcxtXRU8clyOluco5Y
164,生きていたんだよな,Aimyon,12663,https://open.spotify.com/track/69jrtjVjyzRyPCDg0dHYCX
165,3月9日,"Ryota Fujimaki",12662,https://open.spotify.com/track/2U0RKuknHTQPIuKw2gDTHI
166,Closer,"The Chainsmokers",12566,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
167,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",12485,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
168,あゝオオサカdreamin'night,ヒプノシスマイク(どついたれ本舗),12453,https://open.spotify.com/track/1Iyxp6vMuJ4mqwColjXE6O
169,"Used To Love (with Dean Lewis)","Martin Garrix",12395,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
170,シャルル,balloon,12314,https://open.spotify.com/track/54ezuGQj5s0ot4J7ktWb2h
171,"Hanataba No Kawari Ni Melody Wo","Shota Shimizu",12309,https://open.spotify.com/track/4jaaMznp3KPllxbmRdiIbx
172,Flash!!!,"King Gnu",12262,https://open.spotify.com/track/7a7rtAGLudCpQnaKp4zgwG
173,"HIGHEST IN THE ROOM","Travis Scott",12231,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
174,栞,"Creep Hyp",12227,https://open.spotify.com/track/2Bsg6EfrmEx0x0eC8v4vuG
175,"足音 ~Be Strong",Mr.Children,12208,https://open.spotify.com/track/1NKf7YQ4jsRc5zCPzqbexT
176,"Silent Majority",Keyakizaka46,12198,https://open.spotify.com/track/7b7U8EnH4gB3a9qphGYVoj
177,忘れられないの,Sakanaction,12157,https://open.spotify.com/track/7a3LbQFgp7NCuNcGlTgSsN
178,"It's a small world","King Gnu",12144,https://open.spotify.com/track/1JvRvRDp7JfqUWvjdpLOci
179,"Kaerimichiwa Toomawarishitakunaru",Nogizaka46,12059,https://open.spotify.com/track/08XBLK5BlN5ZBLukMO49jy
180,NAO,HY,12055,https://open.spotify.com/track/2PeCrMLUayMPZnLZPkJxOJ
181,Teeth,"5 Seconds of Summer",12051,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
182,いいんですか?,RADWIMPS,12042,https://open.spotify.com/track/2YtGffDs1z9VOZRLW1Iv5J
183,LADY,"Official HIGE DANdism",12035,https://open.spotify.com/track/3SvfMMAkNKJWwvTPQEvAto
184,Hana,"ORANGE RANGE",11978,https://open.spotify.com/track/6DE61O4fNPiBAQWzldBnbv
185,君の恋人になったら,"back number",11978,https://open.spotify.com/track/0k4KaqElLVjdR6sVHPTS6h
186,"POP STAR","Ken Hirai",11960,https://open.spotify.com/track/23uQiOQOedghJ4Jmwp5zLa
187,旅は道連れ,"Official HIGE DANdism",11957,https://open.spotify.com/track/4vrCxIPGj6nUdvm1zsiKxO
188,恋の前ならえ,"Official HIGE DANdism",11912,https://open.spotify.com/track/6PXk100Wk2eFS94uoS0Umj
189,"Slow & Easy",HIRAIDAI,11844,https://open.spotify.com/track/4b5oBON2DgamONUxvP4JyQ
190,U.S.A.,"DA PUMP",11815,https://open.spotify.com/track/5HXCP7b8k64WdZ1G0Bbc13
191,"In the Stars (feat. Kiiara)","ONE OK ROCK",11775,https://open.spotify.com/track/3VESewT7ERH2wtE5OyuKWH
192,"Up All Night",Khalid,11747,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
193,"Into the Unknown - From ""Frozen 2""","Takako Matsu",11730,https://open.spotify.com/track/2BMSr5Jk4U09LAZkDt1qXJ
194,恋におちたら,"Crystal Kay",11716,https://open.spotify.com/track/4vKqFdyIEKkbXdAdGESLJq
195,瞳をとじて,"Ken Hirai",11699,https://open.spotify.com/track/3PBsyDUyJNvQouc1zzD9Ei
196,長く短い祭,"Sheena Ringo",11672,https://open.spotify.com/track/4hWI3r78IDOhPXSHd2f0Az
197,DREAMERS,"GENERATIONS from EXILE TRIBE",11666,https://open.spotify.com/track/0gDrPWUecj5vNXo2dwTgMl
198,Travelers,"Official HIGE DANdism",11621,https://open.spotify.com/track/5rNgDrwH6xcPOux2Y4jrkm
199,ヒーロー,"FUNKY MONKEY BABYS",11570,https://open.spotify.com/track/5iSNxrAoctBnFfyz8J9bDO
200,やさしくなりたい,"Kazuyoshi Saito",11569,https://open.spotify.com/track/4XkqVSWIPb07iLEDvAPq93
